,year,month,day,hour,rainfall_6h,totalCloud,WD,WV,Transformation_3h,dewPoint,visibility,temperature,temperatureChange_24h,transformer_24h,rainfall_ww,rainfall_yc,WV_x,WV_y,rainfall
2018-06-01,2018.0,6.0,1.0,12.5,0.0,6.875,290.0,9.0,5.0,-1.65,21.25,11.387500000000001,0.625,1.375,0.0,0.0,7.902000508875,0.47027769699999844,0.0
2018-06-02,2018.0,6.0,2.0,12.5,0.0,5.75,347.5,8.0,-0.125,-4.300000000000001,22.0,8.674999999999999,-2.25,1.5,0.0,0.5,7.605919083125,-1.7219137268750009,0.0
2018-06-03,2018.0,6.0,3.0,12.5,0.0125,7.875,287.5,4.375,-0.375,-0.275,28.75,6.4375,-1.5,0.25,0.0,0.0,0.491250201625,-0.7883432738749997,0.05
2018-06-04,2018.0,6.0,4.0,12.5,0.0,5.25,182.5,4.625,-3.25,-5.237500000000001,23.75,9.575000000000001,2.25,-1.25,0.0,0.0,1.2691663483750002,0.27671005937500015,0.0
2018-06-05,2018.0,6.0,5.0,12.5,0.0,6.625,252.5,5.5,2.875,-4.887499999999999,20.375,12.887499999999998,2.125,-1.0,0.0,0.0,4.623545298375,0.4590503342499989,0.0
2018-06-06,2018.0,6.0,6.0,12.5,0.25,8.0,301.25,7.25,2.75,-0.33749999999999997,24.75,7.0375,-3.75,2.125,0.0,0.05,6.944077862375,-0.723535250750001,1.0
2018-06-07,2018.0,6.0,7.0,12.5,0.0,8.375,296.25,5.25,-1.875,-4.2,30.0,5.225,-1.375,0.625,0.0,0.0,4.5062037315,-1.1277170457500008,0.0
2018-06-08,2018.0,6.0,8.0,12.5,0.0,7.75,248.75,2.75,-5.125,-5.9625,29.875,7.2749999999999995,1.25,-2.25,0.0,0.0,0.8648078339999998,-0.47352897012499995,0.0
2018-06-09,2018.0,6.0,9.0,12.5,0.0,6.625,221.25,2.25,-2.25,-4.5874999999999995,27.875,9.274999999999999,1.5,-2.375,0.0,0.0,1.207367492875,-0.4868606635000001,0.0
2018-06-10,2018.0,6.0,10.0,12.5,0.0,5.625,230.0,3.875,-1.375,-2.1,24.25,10.687500000000002,0.875,-0.875,0.0,0.0,-0.3542492425000002,-2.608320854625,0.0
2018-06-11,2018.0,6.0,11.0,12.5,0.0,6.0,282.5,3.875,0.875,-1.7749999999999997,24.375,11.65,0.875,-0.125,0.0,0.0,1.5538966446250002,-1.9419268595000003,0.0
2018-06-12,2018.0,6.0,12.0,12.5,0.0,5.75,265.0,4.75,-1.0,-3.325,20.875,13.937499999999998,1.625,-0.5,0.0,0.0,3.679426463375,-0.4002424151250003,0.0
2018-06-13,2018.0,6.0,13.0,12.5,0.0,7.75,118.75,2.75,1.75,-3.0125,19.5,13.962499999999999,0.5,1.0,0.0,0.0,-0.18494359075000003,0.9617673798750002,0.0
2018-06-14,2018.0,6.0,14.0,12.5,0.0,7.75,155.0,7.625,-2.875,-4.325,20.375,13.387500000000001,-1.125,-0.625,0.0,0.0,-6.551667679125001,3.522019002,0.0
2018-06-15,2018.0,6.0,15.0,12.5,0.0,7.875,295.0,7.25,-0.875,1.175,19.625,13.049999999999999,-0.125,-1.375,0.0,0.0,5.2143545177499995,1.2812813773749991,0.0
2018-06-16,2018.0,6.0,16.0,12.5,0.0,8.0,265.0,7.0,3.0,2.875,25.125,10.625,-1.625,1.0,0.0,0.1,6.700281594,0.1813232408749994,0.0
2018-06-17,2018.0,6.0,17.0,12.5,0.025,7.75,161.25,2.875,-1.75,3.9625000000000004,27.125,11.2375,0.0,0.0,0.0,0.0,1.699329633625,0.855584585375,0.1
2018-06-18,2018.0,6.0,18.0,12.5,1.225,7.875,287.5,4.75,3.25,5.6499999999999995,25.5,10.287500000000001,-0.75,0.375,0.4,0.0,3.3418384750000003,-0.4206171625000008,4.9
2018-06-19,2018.0,6.0,19.0,12.5,0.0,7.875,153.75,4.625,0.875,4.6875,29.625,11.3,1.0,0.875,0.0,0.4,-3.1473065279999997,2.260468993,0.0
2018-06-20,2018.0,6.0,20.0,12.5,0.625,8.125,196.25,3.375,0.5,6.562500000000001,26.75,11.125,-0.375,0.5,0.0,0.25,-2.0887592854999997,0.2884139481250001,2.5
