,Unnamed: 0,stationID,lon,lat,altitude,siteLevel,totalCloud,WD,WV,airPressure,Transformation_3h,pastWeather1,pastWeather2,rainfall_6h,lowCloudiness,lowCloudCover,lowCloudHigh,dewPoint,visibility,currentWeather,temperature,lowCloudiness.1,highCloudiness,flag1,flag2,temperatureChange_24h,transformer_24h,time,year,month,day,hour
73,73,52674.0,101.93,38.22,2094.0,16.0,9.0,270.0,6.0,9999.0,-11.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-24.6,30.0,0.0,-12.0,9999.0,9999.0,1.0,2.0,-3.0,3.0,2018-01-10 02:00,2018.0,1.0,10.0,2.0
74,74,52674.0,101.93,38.22,2094.0,16.0,9.0,250.0,8.0,9999.0,-11.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-24.3,30.0,0.0,-9.6,9999.0,9999.0,1.0,2.0,-1.0,2.0,2018-01-10 05:00,2018.0,1.0,10.0,5.0
75,75,52674.0,101.93,38.22,2094.0,16.0,0.0,320.0,5.0,9999.0,1.0,0.0,0.0,0.0,9999.0,0.0,9999.0,-24.2,30.0,0.0,-10.8,9999.0,9999.0,1.0,2.0,0.0,1.0,2018-01-10 08:00,2018.0,1.0,10.0,8.0
76,76,52674.0,101.93,38.22,2094.0,16.0,0.0,270.0,8.0,9999.0,9.0,0.0,0.0,0.0,9999.0,0.0,9999.0,-23.7,30.0,0.0,-2.7,9999.0,9999.0,1.0,2.0,9999.0,9999.0,2018-01-10 11:00,2018.0,1.0,10.0,11.0
77,77,52674.0,101.93,38.22,2094.0,16.0,0.0,290.0,12.0,9999.0,-14.0,0.0,0.0,0.0,9999.0,0.0,9999.0,-25.1,30.0,0.0,-1.0,9999.0,9999.0,1.0,2.0,3.0,0.0,2018-01-10 14:00,2018.0,1.0,10.0,14.0
78,78,52674.0,101.93,38.22,2094.0,16.0,0.0,320.0,9.0,9999.0,7.0,0.0,0.0,0.0,9999.0,0.0,9999.0,-25.8,30.0,0.0,-1.8,9999.0,9999.0,1.0,2.0,3.0,0.0,2018-01-10 17:00,2018.0,1.0,10.0,17.0
79,79,52674.0,101.93,38.22,2094.0,16.0,0.0,220.0,5.0,9999.0,12.0,0.0,0.0,0.0,9999.0,0.0,9999.0,-26.2,30.0,0.0,-10.4,9999.0,9999.0,1.0,2.0,-1.0,-1.0,2018-01-10 20:00,2018.0,1.0,10.0,20.0
80,80,52674.0,101.93,38.22,2094.0,16.0,9.0,270.0,7.0,9999.0,-2.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-24.8,30.0,0.0,-10.6,9999.0,9999.0,1.0,2.0,9999.0,9999.0,2018-01-10 23:00,2018.0,1.0,10.0,23.0
81,81,52674.0,101.93,38.22,2094.0,16.0,9.0,290.0,2.0,9999.0,-7.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-26.0,30.0,0.0,-12.4,9999.0,9999.0,1.0,2.0,0.0,-1.0,2018-01-11 02:00,2018.0,1.0,11.0,2.0
82,82,52674.0,101.93,38.22,2094.0,16.0,9.0,250.0,2.0,9999.0,-4.0,0.0,0.0,0.0,9999.0,9999.0,9999.0,-26.2,30.0,0.0,-12.2,9999.0,9999.0,1.0,2.0,-3.0,0.0,2018-01-11 05:00,2018.0,1.0,11.0,5.0
